drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-8.08762e-10,0.467328,1,6.06309e+06,0.00340204,0.591826,39.9136,1.99138,1.01012e+07,0.276578,101329,373.248,1.03397e-09,306.966,39.1024,-0.426941,-2.38229e-16,8.91087,0.357049,-0.5,1049,2
-8.02158e-10,0.467807,1,6.09232e+06,0.00339659,0.591828,39.4982,1.99146,1.01543e+07,0.276862,101329,373.246,1.03391e-09,300.3,39.1607,-0.420557,6.58162e-17,9.00163,0.356758,-0.5,1050,2
-7.9479e-10,0.468316,1,6.12123e+06,0.00339123,0.591829,39.0907,1.99155,1.02129e+07,0.277163,101328,373.243,1.03386e-09,293.814,39.2175,-0.413466,1.31107e-16,9.09239,0.356467,-0.5,1051,2
-7.8679e-10,0.468867,1,6.15001e+06,0.00338594,0.591832,38.6895,1.99164,1.02762e+07,0.27749,101328,373.241,1.03379e-09,287.474,39.2733,-0.405793,1.64071e-17,9.18315,0.356175,-0.5,1052,2
-7.78201e-10,0.469403,1,6.17817e+06,0.00338078,0.591834,38.2959,1.99174,1.03436e+07,0.277809,101328,373.238,1.03372e-09,281.331,39.3278,-0.397808,1.63861e-17,9.27391,0.355884,-0.5,1053,2
-7.69203e-10,0.469957,1,6.20618e+06,0.00337569,0.591837,37.9054,1.99185,1.04141e+07,0.278138,101328,373.236,1.03366e-09,275.298,39.3818,-0.389355,3.3395e-20,9.36467,0.355593,-0.5,1054,2
-7.59681e-10,0.470443,1,6.23334e+06,0.00337078,0.59184,37.5233,1.99196,1.04885e+07,0.278427,101327,373.233,1.03358e-09,269.494,39.4343,-0.381094,8.1619e-18,9.45543,0.355301,-0.5,1055,2
-7.49971e-10,0.470927,1,6.26034e+06,0.00336593,0.591843,37.1386,1.99207,1.05645e+07,0.278715,101327,373.229,1.03351e-09,263.727,39.4872,-0.372717,2.4451e-17,9.54619,0.35501,-0.5,1056,2
-7.39793e-10,0.471293,1,6.28645e+06,0.00336126,0.591846,36.7681,1.99218,1.0644e+07,0.278933,101326,373.226,1.03343e-09,258.286,39.5381,-0.365493,1.62842e-17,9.63696,0.354719,-0.5,1057,2
-7.29741e-10,0.471683,1,6.31208e+06,0.00335671,0.59185,36.3837,1.9923,1.07228e+07,0.279165,101326,373.223,1.03335e-09,252.709,39.5918,-0.358026,-1.62523e-17,9.72772,0.354427,-0.5,1058,2
