drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-2.72483e-09,0.512533,1,2.76094e+06,0.0044224,0.591287,200.623,1.96402,1.67215e+06,0.303032,101466,374.085,1.0528e-09,7084.44,71.592,-6.86059,-6.14139e-16,3.7798,0.513691,0.5,2293,2
-2.70581e-09,0.513816,1,2.77831e+06,0.00441314,0.591335,196.353,1.96441,1.71838e+06,0.303815,101472,374.075,1.05253e-09,6769.19,71.8994,-6.58056,6.66779e-18,3.87127,0.513416,0.5,2294,2
-2.68519e-09,0.515558,1,2.79494e+06,0.00440433,0.591374,192.46,1.9648,1.76533e+06,0.304865,101476,374.065,1.05225e-09,6481.29,72.1878,-6.3063,-3.11255e-16,3.96274,0.513141,0.5,2295,2
-2.663e-09,0.517643,1,2.81066e+06,0.00439608,0.591406,188.877,1.96519,1.81328e+06,0.306116,101478,374.055,1.05197e-09,6216.76,72.4587,-6.04197,2.87486e-16,4.05422,0.512865,0.5,2296,2
-2.64032e-09,0.520106,1,2.82572e+06,0.00438824,0.591432,185.593,1.96557,1.86053e+06,0.307586,101479,374.044,1.0517e-09,5973.65,72.7129,-5.78275,-3.04129e-16,4.14569,0.51259,0.5,2297,2
-2.61656e-09,0.522931,1,2.83986e+06,0.00438093,0.591453,182.582,1.96595,1.9085e+06,0.309268,101480,374.033,1.05143e-09,5749.69,72.95,-5.53249,-4.27605e-18,4.23716,0.512315,0.5,2298,2
-2.59287e-09,0.526128,1,2.8534e+06,0.00437396,0.591468,179.834,1.96631,1.95539e+06,0.311168,101480,374.022,1.05117e-09,5543.46,73.171,-5.28461,-1.35058e-18,4.32864,0.51204,0.5,2299,2
-2.57111e-09,0.529716,1,2.8662e+06,0.00436743,0.591479,177.339,1.96665,1.99804e+06,0.313297,101478,374.012,1.05094e-09,5353.55,73.3651,-5.03938,2.93656e-16,4.42011,0.511764,0.5,2300,2
-2.54951e-09,0.533563,1,2.87842e+06,0.00436123,0.591487,175.02,1.96697,2.03998e+06,0.315577,101477,374.002,1.05071e-09,5176.21,73.5406,-4.81707,-6.73479e-18,4.51158,0.511489,0.5,2301,2
-2.52803e-09,0.537691,1,2.89005e+06,0.00435536,0.59149,172.891,1.96728,2.08059e+06,0.318021,101476,373.992,1.05049e-09,5011.64,73.7073,-4.60221,-2.93408e-16,4.60306,0.511214,0.5,2302,2
-2.5065e-09,0.542054,1,2.90116e+06,0.00434979,0.59149,170.915,1.96758,2.12111e+06,0.320602,101473,373.983,1.05028e-09,4857.67,73.8574,-4.39808,4.68808e-18,4.69453,0.510939,0.5,2303,2
-2.48428e-09,0.54652,1,2.91174e+06,0.00434451,0.591489,169.042,1.96789,2.16278e+06,0.323243,101470,373.973,1.05006e-09,4712.34,73.9999,-4.21077,-1.16625e-17,4.78601,0.510663,0.5,2304,2
-2.46218e-09,0.551169,1,2.92181e+06,0.0043395,0.591484,167.309,1.96819,2.20358e+06,0.325992,101466,373.963,1.04986e-09,4576.65,74.1367,-4.02623,2.7433e-16,4.87748,0.510388,0.5,2305,2
-2.44072e-09,0.555911,1,2.93135e+06,0.00433478,0.591478,165.681,1.96847,2.24308e+06,0.328794,101463,373.954,1.04966e-09,4449.18,74.2614,-3.84952,2.70794e-16,4.96895,0.510113,0.5,2306,2
-2.4197e-09,0.560703,1,2.9404e+06,0.00433032,0.59147,164.138,1.96875,2.2818e+06,0.331624,101459,373.944,1.04947e-09,4328.83,74.3771,-3.68189,2.76468e-16,5.06043,0.509838,0.5,2307,2
-2.39901e-09,0.56557,1,2.94893e+06,0.00432614,0.591461,162.673,1.96901,2.31982e+06,0.334498,101455,373.936,1.04928e-09,4214.83,74.4869,-3.52229,-2.8209e-16,5.1519,0.509562,0.5,2308,2
-2.37892e-09,0.570338,1,2.95698e+06,0.00432221,0.591451,161.254,1.96926,2.3566e+06,0.337314,101450,373.927,1.04911e-09,4106.54,74.5915,-3.36931,-1.11081e-18,5.24337,0.509287,0.5,2309,2
-2.35956e-09,0.574913,1,2.96452e+06,0.00431854,0.59144,159.853,1.96951,2.39194e+06,0.340014,101446,373.919,1.04894e-09,4002.91,74.6894,-3.22342,-1.85269e-17,5.33485,0.509012,0.5,2310,2
-2.34078e-09,0.579251,1,2.97166e+06,0.00431508,0.591428,158.449,1.96974,2.42627e+06,0.342574,101442,373.91,1.04878e-09,3903.09,74.7822,-3.08469,-2.86938e-16,5.42632,0.508737,0.5,2311,2
-2.32288e-09,0.583272,1,2.97839e+06,0.00431183,0.591416,157.036,1.96996,2.45898e+06,0.344945,101438,373.902,1.04863e-09,3806.99,74.8679,-2.95007,2.72502e-16,5.51779,0.508462,0.5,2312,2
-2.30565e-09,0.587042,1,2.98483e+06,0.00430872,0.591403,155.598,1.97017,2.49087e+06,0.347168,101434,373.895,1.04848e-09,3713.31,74.9458,-2.82447,2.79515e-16,5.60927,0.508186,0.5,2313,2
