,Ambient Pressure [Pa],dT [K],$r$ [m],Time_r [s]
0,340075.51020408166,28.06122448979592,1.003125145192943e-06,1.4000000000000001e-08
0,340075.51020408166,28.857142857142858,1.0032128294855312e-06,1.4000000000000001e-08
0,340075.51020408166,29.653061224489797,1.0033004677367604e-06,1.2000000000000002e-08
0,340075.51020408166,30.448979591836736,1.0033880598978962e-06,1.4000000000000001e-08
0,340075.51020408166,31.244897959183675,1.0034756060886069e-06,1.5000000000000002e-08
0,340075.51020408166,32.04081632653062,1.0035631069001394e-06,1.5000000000000002e-08
0,340075.51020408166,32.83673469387755,1.0036505632623673e-06,1.5000000000000002e-08
0,340075.51020408166,33.63265306122449,1.003737976047057e-06,1.5000000000000002e-08
0,340075.51020408166,34.42857142857143,1.0038253453788966e-06,1.3e-08
0,340075.51020408166,35.224489795918366,1.0039126712830856e-06,1.5000000000000002e-08
0,340075.51020408166,36.02040816326531,1.003999953947206e-06,1.6e-08
0,340075.51020408166,36.816326530612244,1.004087193870863e-06,1.6e-08
0,340075.51020408166,37.61224489795919,1.0041743918259097e-06,1.6e-08
0,340075.51020408166,38.40816326530612,1.004261548530048e-06,1.6e-08
0,340075.51020408166,39.20408163265306,1.004348664505258e-06,1.4000000000000001e-08
0,340075.51020408166,40.0,1.0044357396999228e-06,1.5000000000000002e-08
0,346197.9591836735,1.0,1.000112672271705e-06,2e-09
0,346197.9591836735,1.7959183673469388,1.0002022541554182e-06,6.000000000000001e-09
0,346197.9591836735,2.5918367346938775,1.0002917646398882e-06,3.0000000000000004e-09
0,346197.9591836735,3.387755102040816,1.000381205755853e-06,6.000000000000001e-09
0,346197.9591836735,4.183673469387755,1.0004705798789188e-06,6.000000000000001e-09
0,346197.9591836735,4.979591836734694,1.0005598915409767e-06,6.000000000000001e-09
0,346197.9591836735,5.775510204081632,1.000649137946289e-06,8e-09
0,346197.9591836735,6.571428571428571,1.0007383227946214e-06,7.000000000000001e-09
0,346197.9591836735,7.36734693877551,1.0008274477389333e-06,7.000000000000001e-09
0,346197.9591836735,8.16326530612245,1.000916510278212e-06,9.000000000000001e-09
0,346197.9591836735,8.959183673469388,1.0010055133738022e-06,8e-09
0,346197.9591836735,9.755102040816327,1.0010944588036194e-06,7.000000000000001e-09
0,346197.9591836735,10.551020408163264,1.0011833442508306e-06,9.000000000000001e-09
0,346197.9591836735,11.346938775510203,1.0012721710870962e-06,9.000000000000001e-09
0,346197.9591836735,12.142857142857142,1.001360942073125e-06,7.000000000000001e-09
0,346197.9591836735,12.938775510204081,1.0014496559961193e-06,1e-08
0,346197.9591836735,13.73469387755102,1.0015383121601247e-06,1.1000000000000001e-08
0,346197.9591836735,14.53061224489796,1.001626912844874e-06,1e-08
0,346197.9591836735,15.326530612244898,1.001715459427642e-06,8e-09
0,346197.9591836735,16.122448979591837,1.0018039505552113e-06,1.1000000000000001e-08
0,346197.9591836735,16.918367346938776,1.0018923861980634e-06,1.2000000000000002e-08
0,346197.9591836735,17.714285714285715,1.0019807685241093e-06,1.1000000000000001e-08
0,346197.9591836735,18.510204081632654,1.0020690986385415e-06,9.000000000000001e-09
0,346197.9591836735,19.306122448979593,1.002157375664294e-06,1.2000000000000002e-08
0,346197.9591836735,20.10204081632653,1.0022455994256703e-06,1.2000000000000002e-08
0,346197.9591836735,20.897959183673468,1.0023337711633392e-06,1.2000000000000002e-08
0,346197.9591836735,21.693877551020407,1.0024218925652868e-06,1.2000000000000002e-08
0,346197.9591836735,22.489795918367346,1.0025099636420467e-06,1.1000000000000001e-08
0,346197.9591836735,23.285714285714285,1.0025979837543812e-06,1.3e-08
0,346197.9591836735,24.081632653061224,1.002685953374771e-06,1.3e-08
0,346197.9591836735,24.877551020408163,1.0027738737613888e-06,1.3e-08
0,346197.9591836735,25.6734693877551,1.0028617460962923e-06,1.3e-08
0,346197.9591836735,26.46938775510204,1.0029495704951282e-06,1.2000000000000002e-08
